iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
38;20339.774;480.791;3458.303;59.15;213.786;1751.68;3324.0;0.0;14649.0;33147.002;5668.14;-7139.088;33.184;18;128;[1.574, 2.221, 2.418, 1.219, 1.343];[2.66, 1.916, 1.547]
39;20339.774;480.791;3458.303;59.15;213.786;1751.68;3324.0;0.0;14649.0;33147.002;5668.14;-7139.088;66.499;18;128;[1.574, 2.099, 2.418, 1.219, 1.343];[2.66, 1.824, 1.547]
40;20108.403;487.704;3481.345;51.583;209.198;1550.355;3252.0;0.0;14589.0;33147.002;5668.14;-7370.459;10.571;18;128;[1.817, 2.099, 2.418, 1.219, 1.343];[2.66, 1.824, 1.792]
41;20108.403;487.704;3481.345;51.583;209.198;1550.355;3252.0;0.0;14589.0;33147.002;5668.14;-7370.459;38.602;18;128;[1.817, 2.099, 2.418, 1.197, 1.343];[2.66, 1.742, 1.792]
42;20108.403;487.704;3481.345;51.583;209.198;1550.355;3252.0;0.0;14589.0;33147.002;5668.14;-7370.459;7.506;18;128;[1.817, 1.989, 2.418, 1.197, 1.343];[2.66, 1.742, 1.713]
43;20108.403;487.704;3481.345;51.583;209.198;1550.355;3252.0;0.0;14589.0;33147.002;5668.14;-7370.459;6.226;18;128;[1.817, 1.989, 2.276, 1.197, 1.343];[2.66, 1.742, 1.642]
44;20108.403;487.704;3481.345;51.583;209.198;1550.355;3252.0;0.0;14589.0;33147.002;5668.14;-7370.459;7.873;18;128;[1.817, 1.89, 2.276, 1.197, 1.343];[2.66, 1.742, 1.578]
45;20108.403;487.704;3481.345;51.583;209.198;1550.355;3252.0;0.0;14589.0;33147.002;5668.14;-7370.459;12.286;18;128;[1.817, 1.89, 2.276, 1.197, 1.309];[2.66, 1.742, 1.52]
46;20024.378;481.417;3460.391;49.532;204.738;1492.57;3253.2;0.0;14590.0;33147.002;5668.14;-7454.484;69.105;18;128;[1.817, 1.89, 2.276, 1.197, 1.578];[2.794, 1.742, 1.52]
47;19974.066;485.647;3474.49;46.177;203.318;1403.929;3277.2;0.0;14610.0;33147.002;5668.14;-7504.796;37.319;18;128;[2.035, 1.89, 2.276, 1.197, 1.578];[2.915, 1.742, 1.52]
48;19974.066;485.647;3474.49;46.177;203.318;1403.929;3277.2;0.0;14610.0;33147.002;5668.14;-7504.796;32.708;18;128;[2.035, 1.89, 2.276, 1.177, 1.578];[2.724, 1.742, 1.52]
49;19974.066;485.647;3474.49;46.177;203.318;1403.929;3277.2;0.0;14610.0;33147.002;5668.14;-7504.796;49.204;18;128;[1.932, 1.89, 2.276, 1.177, 1.578];[2.552, 1.742, 1.52]
602constructshop:True depot:True weather:True;22189.374;535.442;3642.139;83.54;244.741;2416.793;3871.2;0.0;15595.0;33082.886;5732.256;-5161.256;233.776;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;22095.159;510.16;3557.866;84.457;236.242;2432.133;4014.0;0.0;15595.0;33082.886;5732.256;-5255.471;55.306;18;128;[1.0, 1.3, 1.0, 1.0, 1.0];[1.0, 1.0, 1.3]
1;22095.159;510.16;3557.866;84.457;236.242;2432.133;4014.0;0.0;15595.0;33082.886;5732.256;-5255.471;27.262;18;128;[1.0, 1.3, 1.0, 1.0, 1.0];[1.0, 1.0, 1.27]
2;22095.159;510.16;3557.866;84.457;236.242;2432.133;4014.0;0.0;15595.0;33082.886;5732.256;-5255.471;168.605;18;128;[1.0, 1.3, 1.0, 1.2, 1.0];[1.0, 1.2, 1.27]
3;21237.605;511.968;3549.56;72.573;233.192;2120.077;3682.8;0.0;15056.0;32756.906;6058.236;-5461.065;36.44;19;128;[1.0, 1.57, 1.0, 1.2, 1.0];[1.0, 1.2, 1.543]
4;20983.094;510.605;3545.017;69.319;228.186;2030.472;3469.2;0.0;14897.0;32756.906;6058.236;-5715.576;35.978;19;128;[1.3, 1.57, 1.0, 1.2, 1.0];[1.0, 1.2, 1.789]
5;20870.627;515.583;3561.608;67.915;229.643;1995.436;4135.2;0.0;14798.0;32756.906;6058.236;-5828.043;29.431;19;128;[1.3, 1.813, 1.0, 1.2, 1.0];[1.0, 1.2, 2.01]
